"Rank","Mountain","Elevation","Prominence","Coordinates","Range [Note 4]","Range[Note 5]","Region [Note 6]","Country","First[5] ascent"
"107","Piz Glüschaint","3594","341","46°21′45″N 09°50′24″E﻿ / ﻿46.36250°N 9.84000°E﻿ / 46.36250; 9.84000﻿ (107. Piz Glüschaint (3594 m))","Bernina Range","II/A-15.III-A","Graub./Sondrio","CH/IT","1863"
"108","Bessanèse (fr)","3592","386","45°18′08″N 07°07′10″E﻿ / ﻿45.30222°N 7.11944°E﻿ / 45.30222; 7.11944﻿ (108. Bessanèse (3592 m))","Graian Alps - SE","I/B-07.I-B","Savoy/Turin","FR/IT","1857"
"109","Les Rouies","3589","506","44°51′52″N 06°15′31″E﻿ / ﻿44.86444°N 6.25861°E﻿ / 44.86444; 6.25861﻿ (109. Les Rouies (3589 m))","Massif des Écrins","I/A-05.III-D","Isère","FR","1873"
"110","Grand Roc Noir","3582","818","45°19′49″N 06°53′31″E﻿ / ﻿45.33028°N 6.89194°E﻿ / 45.33028; 6.89194﻿ (110. Grand Roc Noir (3582 m))","Vanoise massif","I/B-07.II-A","Savoy","FR",""
"111","Mont Brulé","3578","365","45°57′18″N 07°32′18″E﻿ / ﻿45.95500°N 7.53833°E﻿ / 45.95500; 7.53833﻿ (111. Mont Brulé (3578 m))","Weisshorn-Matterhorn","I/B-09.II-A","Valais/Aosta","CH/IT","1876"
"112","Croix Rousse/Croce Rossa[Note 8]","3571","499","45°15′38″N 07°08′05″E﻿ / ﻿45.26056°N 7.13472°E﻿ / 45.26056; 7.13472﻿ (112. Croix Rousse / Croce Rossa (3571 m))","Graian Alps - SE","I/B-07.I-B","Savoy/Turin","FR/IT","1857"
"113","Olan","3564","552","44°51′34″N 06°11′50″E﻿ / ﻿44.85944°N 6.19722°E﻿ / 44.85944; 6.19722﻿ (113. Olan (3564 m))","Massif des Écrins","I/A-05.III-D","Isère/H-Alpes","FR","1875"
"114","Großes Wiesbachhorn","3564","481","47°09′23″N 12°45′19″E﻿ / ﻿47.15639°N 12.75528°E﻿ / 47.15639; 12.75528﻿ (114. Großes Wiesbachhorn (3564 m))","Glockner Group","II/A-17.II-C","Salzburg","AT","1795"
"115","Plaret (fr)","3563","362","44°58′07″N 06°15′36″E﻿ / ﻿44.96861°N 6.26000°E﻿ / 44.96861; 6.26000﻿ (115. Le Plaret (3563 m))","Massif des Écrins","I/A-05.III-B","Isère","FR","1877"
"116","Cime de Clot Châtel","3563","320","44°53′51″N 06°16′49″E﻿ / ﻿44.89750°N 6.28028°E﻿ / 44.89750; 6.28028﻿ (116. Cime de Clot Châtel (3563 m))","Massif des Écrins","I/A-05.III-D","Isère","FR","1877"
"116","Ouille d'Arbéron/Pta d'Arnas (fr)[Note 9]","3563","294","45°16′18″N 07°07′41″E﻿ / ﻿45.27167°N 7.12806°E﻿ / 45.27167; 7.12806﻿ (Ouille d'Arbéron/Pta d'Arnas (3563 m))","Graian Alps - SE","I/B-07.I-B","Savoy/Turin","FR/IT","1873"
"117","Aiguille de Péclet","3562","766","45°16′53″N 06°37′28″E﻿ / ﻿45.28139°N 6.62444°E﻿ / 45.28139; 6.62444﻿ (117. Aig. de Péclet (3562 m))","Vanoise massif","I/B-07.II-E","Savoy","FR","1878"
"118","Tschingelhorn","3562","388","46°28′43″N 07°50′55″E﻿ / ﻿46.47861°N 7.84861°E﻿ / 46.47861; 7.84861﻿ (118. Tschingelhorn (3562 m))","Bernese Alps","I/B-12.II-D","Bern/Valais","CH","1865"
"119","Monte Emilius","3559","733","45°40′44″N 07°23′05″E﻿ / ﻿45.67889°N 7.38472°E﻿ / 45.67889; 7.38472﻿ (119. Monte Emilius (3559 m))","Gran Paradiso Alps","I/B-07.IV-C","Aosta Valley","IT","1826"
"120","Tête de l'Étret","3559","310","44°53′24″N 06°14′43″E﻿ / ﻿44.89000°N 6.24528°E﻿ / 44.89000; 6.24528﻿ (120. Tête de l'Étret (3559 m))","Massif des Écrins","I/A-05.III-D","Isère","FR","1876"
"121","Presanella","3558","1676","46°13′12″N 10°39′50″E﻿ / ﻿46.22000°N 10.66389°E﻿ / 46.22000; 10.66389﻿ (121. Presanella (3558 m))","Adamello-Presanella","II/C-28.III-B","Trentino","IT","1864"
"122","Aouille Tseuque","3554","345","45°55′49″N 07°26′35″E﻿ / ﻿45.93028°N 7.44306°E﻿ / 45.93028; 7.44306﻿ (122. Aouille Tseuque (3554 m))","Grand Combin Alps","I/B-09.I-C","Valais/Aosta","CH/IT",""
"123","Monte Leone","3553","1144","46°14′58″N 08°06′36″E﻿ / ﻿46.24944°N 8.11000°E﻿ / 46.24944; 8.11000﻿ (123. Monte Leone (3553 m))","Leone-Gotthard Alps","I/B-10.I-A","Valais/V-C-O","CH/IT","1859"
"124","Großer Ramolkogel","3550","380","46°50′48″N 10°57′32″E﻿ / ﻿46.84667°N 10.95889°E﻿ / 46.84667; 10.95889﻿ (124. Großer Ramolkogel (3550 m))","Ötztal Alps","II/A-16.I-A","North Tyrol","AT","1862"
"125","Vertainspitze","3545","422","46°32′14″N 10°38′08″E﻿ / ﻿46.53722°N 10.63556°E﻿ / 46.53722; 10.63556﻿ (125. Vertainspitze (3545 m))","Ortler Alps","II/C-28.I-A","South Tyrol","IT","1865"
"126","Schalfkogel","3540","351","46°48′06″N 10°57′33″E﻿ / ﻿46.80167°N 10.95917°E﻿ / 46.80167; 10.95917﻿ (126. Schalfkogel (3540 m))","Ötztal Alps","II/A-16.I-A","North Tyrol","AT","1830"
"127","Adamello","3539","664","46°09′21″N 10°29′46″E﻿ / ﻿46.15583°N 10.49611°E﻿ / 46.15583; 10.49611﻿ (127. Adamello (3539 m))","Adamello-Presanella","II/C-28.III-A","Brescia","IT","1864"
"128","Rocciamelone","3538","310","45°12′14″N 07°04′37″E﻿ / ﻿45.20389°N 7.07694°E﻿ / 45.20389; 7.07694﻿ (128. Rocciamelone (3538 m))","Graian Alps - SE","I/B-07.I-A","Turin","IT","1358"
"128","Hochvernagtspitze","3535","299","46°52′53″N 10°47′46″E﻿ / ﻿46.88139°N 10.79611°E﻿ / 46.88139; 10.79611﻿ (Hochvernagtspitze (3535 m))","Ötztal Alps","II/A-16.I-A","North Tyrol","AT","1865"
"129","Watzespitze","3533","489","46°59′22″N 10°47′44″E﻿ / ﻿46.98944°N 10.79556°E﻿ / 46.98944; 10.79556﻿ (129. Watzespitze (3533 m))","Ötztal Alps","II/A-16.I-C","North Tyrol","AT","1869"
"129","Bec d'Epicoune","3531","298","45°54′53″N 07°25′21″E﻿ / ﻿45.91472°N 7.42250°E﻿ / 45.91472; 7.42250﻿ (Bec d'Epicoune (3531 m))","Grand Combin Alps","I/B-09.I-C","Valais/Aosta","CH/IT","1866"
"130","Mont Gelé","3518","619","45°54′15″N 07°21′58″E﻿ / ﻿45.90417°N 7.36611°E﻿ / 45.90417; 7.36611﻿ (130. Mont Gelé (3518 m))","Grand Combin Alps","I/B-09.I-C","Valais/Aosta","CH/IT","1861"
"131","Weißseespitze","3518","345","46°50′48″N 10°43′02″E﻿ / ﻿46.84667°N 10.71722°E﻿ / 46.84667; 10.71722﻿ (131. Weißseespitze (3518 m))","Ötztal Alps","II/A-16.I-A","N-Tyrol/S-Tyrol","AT/IT","1870"
"132","Aiguille Méridionale d'Arves","3514","1433","45°07′38″N 06°20′13″E﻿ / ﻿45.12722°N 6.33694°E﻿ / 45.12722; 6.33694﻿ (132. Aig. Méridionale d'Arves (3514 m))","Dauphiné Alps","I/A-05.I-A","H-Alpes/Savoy","FR","1878"
"133","Fineilspitze","3514","504","46°46′49″N 10°49′55″E﻿ / ﻿46.78028°N 10.83194°E﻿ / 46.78028; 10.83194﻿ (133. Fineilspitze (3514 m))","Ötztal Alps","II/A-16.I-A","N-Tyrol/S-Tyrol","AT/IT","1865"
"134","Punta Tersiva","3512","596","45°37′14″N 07°28′34″E﻿ / ﻿45.62056°N 7.47611°E﻿ / 45.62056; 7.47611﻿ (134. Pta Tersiva (3512 m))","Gran Paradiso Alps","I/B-07.IV-C","Aosta Valley","IT","1842"
"135","Hochfeiler","3509","981","46°58′20″N 11°43′40″E﻿ / ﻿46.97222°N 11.72778°E﻿ / 46.97222; 11.72778﻿ (135. Hochfeiler (3509 m))","Zillertal Alps","II/A-17.I-B","N-Tyrol/S-Tyrol","AT/IT","1865"
"136","Zuckerhütl","3507","1033","46°57′52″N 11°09′14″E﻿ / ﻿46.96444°N 11.15389°E﻿ / 46.96444; 11.15389﻿ (136. Zuckerhütl (3507 m))","Stubai Alps","II/A-16.II-A","North Tyrol","AT","1863"
"137","Aiguille de Scolette/Pierre Menue","3506","1069","45°09′36″N 06°46′07″E﻿ / ﻿45.16000°N 6.76861°E﻿ / 45.16000; 6.76861﻿ (137. Aig. de Scolette / Pierre Menue (3506 m))","Northern Cottian Alps","I/A-04.III-B","Savoy/Turin","FR/IT","1875"
"137","Galmihorn","3505","293","46°30′24″N 08°11′06″E﻿ / ﻿46.50667°N 8.18500°E﻿ / 46.50667; 8.18500﻿ (Galmihorn (3505 m))","Bernese Alps","I/B-12.II-A","Valais","CH","1884"
"138","Becca di Luseney / Pic de Luseney","3504","646","45°52′14″N 07°29′28″E﻿ / ﻿45.87056°N 7.49111°E﻿ / 45.87056; 7.49111﻿ (138. Becca di Luseney / de Leseney (3504 m))","Weisshorn-Matterhorn","I/B-09.II-B","Aosta Valley","IT","1866"
"139","Sustenhorn","3503","414","46°41′56″N 08°27′19″E﻿ / ﻿46.69889°N 8.45528°E﻿ / 46.69889; 8.45528﻿ (139. Sustenhorn (3503 m))","Urner Alps","I/B-12.I-A","Bern/Uri","CH","1841"
"140","Dreiherrnspitze","3499","581","47°04′09″N 12°14′27″E﻿ / ﻿47.06917°N 12.24083°E﻿ / 47.06917; 12.24083﻿ (140. Dreiherrnspitze (3499 m))","Venediger Group","II/A-17.II-A","E-Tyr/Salz/S-Tyr","AT/IT","1866"
"141","Schrankogel","3497","545","47°02′38″N 11°05′57″E﻿ / ﻿47.04389°N 11.09917°E﻿ / 47.04389; 11.09917﻿ (141. Schrankogel (3497 m))","Stubai Alps","II/A-16.II-B","North Tyrol","AT","1840"
"142","Rötspitze","3496","653","47°01′37″N 12°12′19″E﻿ / ﻿47.02694°N 12.20528°E﻿ / 47.02694; 12.20528﻿ (142. Rötspitze (3496 m))","Venediger Group","II/A-17.II-A","E-Tyrol/S-Tyrol","AT/IT","1854"
"143","Grande Traversière (it)","3496","342","45°31′23″N 07°03′21″E﻿ / ﻿45.52306°N 7.05583°E﻿ / 45.52306; 7.05583﻿ (143. Grande Traversière (3496 m))","Graian Alps - Central","I/B-07.III-A","Aosta Valley","IT","1885"
"144","M. Morion Sud/M. Rion Méridional","3489","345","45°52′41″N 07°21′55″E﻿ / ﻿45.87806°N 7.36528°E﻿ / 45.87806; 7.36528﻿ (144. M. Morion Sud / M. Rion Méridional (3489 m))","Grand Combin Alps","I/B-09.I-C","Aosta Valley","IT",""
"145","Grand Nomenon (it)","3488","389","45°36′43″N 07°14′10″E﻿ / ﻿45.61194°N 7.23611°E﻿ / 45.61194; 7.23611﻿ (145. Grand Nomenon (3488 m))","Gran Paradiso Alps","I/B-07.IV-A","Aosta Valley","IT","1877"
"146","Sonnighorn/ Pizzo Bottarello","3487","340","46°04′27″N 08°01′20″E﻿ / ﻿46.07417°N 8.02222°E﻿ / 46.07417; 8.02222﻿ (146. Sonnighorn / Pizzo Bottarello (3487 m))","Weissmies Alps","I/B-09.V-B","Valais/V-C-O","CH/IT","1879"
"147","Testa del Rutor","3486","850","45°37′51″N 07°00′52″E﻿ / ﻿45.63083°N 7.01444°E﻿ / 45.63083; 7.01444﻿ (147. Testa del Rutor (3486 m))","Graian Alps - Central","I/B-07.III-B","Aosta Valley","IT","1858"
"148","Grande Aiguille Rousse","3482","390","45°25′59″N 07°06′35″E﻿ / ﻿45.43306°N 7.10972°E﻿ / 45.43306; 7.10972﻿ (148. Grande Aig. Rousse (3482 m))","Graian Alps - SE","I/B-07.I-C","Savoy","FR","1878"
"149","Pic de Bonvoisin (it)","3481","397","44°49′25″N 06°20′49″E﻿ / ﻿44.82361°N 6.34694°E﻿ / 44.82361; 6.34694﻿ (149. Pic de Bonvoisin (3481 m))","Massif des Écrins","I/A-05.III-C","Hautes-Alpes","FR","1879"
"150","Großer Möseler","3480","455","46°59′33″N 11°46′55″E﻿ / ﻿46.99250°N 11.78194°E﻿ / 46.99250; 11.78194﻿ (150. Großer Möseler (3480 m))","Zillertal Alps","II/A-17.I-B","N-Tyrol/S-Tyrol","AT/IT","1865"
"151","Hochwilde","3480","353","46°45′56″N 11°01′20″E﻿ / ﻿46.76556°N 11.02222°E﻿ / 46.76556; 11.02222﻿ (151. Hochwilde (3480 m))","Ötztal Alps","II/A-16.I-A","N-Tyrol/S-Tyrol","AT/IT","1852"
"152","Olperer","3476","1231","47°03′11″N 11°39′32″E﻿ / ﻿47.05306°N 11.65889°E﻿ / 47.05306; 11.65889﻿ (152. Olperer (3476 m))","Zillertal Alps","II/A-17.I-A","North Tyrol","AT","1867"
"153","Ruderhofspitze","3474","370","47°02′22″N 11°08′36″E﻿ / ﻿47.03944°N 11.14333°E﻿ / 47.03944; 11.14333﻿ (153. Ruderhofspitze (3474 m))","Stubai Alps","II/A-16.II-B","North Tyrol","AT","1864"
"154","Hinterer Seelenkogel","3472","441","46°48′06″N 11°02′40″E﻿ / ﻿46.80167°N 11.04444°E﻿ / 46.80167; 11.04444﻿ (154. Hinterer Seelenkogel (3472 m))","Ötztal Alps","II/A-16.I-B","N-Tyrol/S-Tyrol","AT/IT","1871"
"155","Grande Rousse S (Pic Bayle)","3465","1175","45°08′16″N 06°08′09″E﻿ / ﻿45.13778°N 6.13583°E﻿ / 45.13778; 6.13583﻿ (155. Grande Rousse S (Pic Bayle) (3465 m))","Dauphiné Alps","I/A-05.I-B","Isère","FR","1874"
"156","Roche de la Muzelle","3465","529","44°55′52″N 06°06′24″E﻿ / ﻿44.93111°N 6.10667°E﻿ / 44.93111; 6.10667﻿ (156. Roche de la Muzelle (3465 m))","Massif des Écrins","I/A-05.III-E","Isère","FR","1875"
"156","Pic de l'Étendard[Note 10]","3464","170","45°09′16″N 06°08′38″E﻿ / ﻿45.15444°N 6.14389°E﻿ / 45.15444; 6.14389﻿ (Pic de l'Étendard (3464 m))","Dauphiné Alps","I/A-05.I-B","Isère/Savoy","FR","1863"
"157","Carè Alto","3463","481","46°06′29″N 10°35′46″E﻿ / ﻿46.10806°N 10.59611°E﻿ / 46.10806; 10.59611﻿ (157. Carè Alto (3463 m))","Adamello-Presanella","II/C-28.III-A","Trentino","IT","1865"
"158","Vordere Ölgrubenspitze[Note 11]","3456","390","46°54′30″N 10°46′24″E﻿ / ﻿46.90833°N 10.77333°E﻿ / 46.90833; 10.77333﻿ (158. Vordere Ölgrubenspitze (3456 m))","Ötztal Alps","II/A-16.I-C","North Tyrol","AT","1876"
"158","Bliggspitze[Note 11]","3453","390","46°55′05″N 10°47′10″E﻿ / ﻿46.91806°N 10.78611°E﻿ / 46.91806; 10.78611﻿ (158. Bliggspitze (3453 m))","Ötztal Alps","II/A-16.I-C","North Tyrol","AT","1874"
"158","Johannisberg","3453","293","47°06′34″N 12°40′22″E﻿ / ﻿47.10944°N 12.67278°E﻿ / 47.10944; 12.67278﻿ (Johannisberg (3453 m))","Glockner Group","II/A-17.II-C","Carinth/Salzburg","AT","1844"
"160","Piz Corvatsch","3451","383","46°24′30″N 09°48′58″E﻿ / ﻿46.40833°N 9.81611°E﻿ / 46.40833; 9.81611﻿ (160. Piz Corvatsch (3451 m))","Bernina Range","II/A-15.III-A","Graubünden","CH","1850"
"161","Rinderhorn","3448","412","46°24′49″N 07°39′15″E﻿ / ﻿46.41361°N 7.65417°E﻿ / 46.41361; 7.65417﻿ (161. Rinderhorn (3448 m))","Bernese Alps","I/B-12.II-D","Valais","CH","1854"
"161","Punta Garin","3448","294","45°39′21″N 07°22′40″E﻿ / ﻿45.65583°N 7.37778°E﻿ / 45.65583; 7.37778﻿ (Pta Garin (3448 m))","Gran Paradiso Alps","I/B-07.IV-C","Aosta Valley","IT","1856"
"162","Wasenhorn","3447","303","46°29′53″N 08°09′57″E﻿ / ﻿46.49806°N 8.16583°E﻿ / 46.49806; 8.16583﻿ (162. Wasenhorn (3447 m))","Bernese Alps","I/B-12.II-E","Valais","CH","1885"
"163","Hintere Eggenspitze / Cima Sternai","3443","478","46°28′40″N 10°46′14″E﻿ / ﻿46.47778°N 10.77056°E﻿ / 46.47778; 10.77056﻿ (163. Hintere Eggenspitze / Cima Sternai (3443 m))","Ortler Alps","II/C-28.I-A","S-Tyrol/Trentino","IT","1868"
"164","Roc du Mulinet/Cima Martellot (it)","3442","342","45°22′51″N 07°09′46″E﻿ / ﻿45.38083°N 7.16278°E﻿ / 45.38083; 7.16278﻿ (164. Roc du Mulinet (3442 m))","Graian Alps - SE","I/B-07.I-B","Savoy/Turin","FR/IT","1878"
"165","Sirac (fr)","3441","357","44°47′23″N 06°18′25″E﻿ / ﻿44.78972°N 6.30694°E﻿ / 44.78972; 6.30694﻿ (165. Sirac (3441 m))","Massif des Écrins","I/A-05.III-C","Hautes-Alpes","FR","1877"
"166","Piz Tremoggia","3441","349","46°21′07″N 09°49′19″E﻿ / ﻿46.35194°N 9.82194°E﻿ / 46.35194; 9.82194﻿ (166. Piz Tremoggia (3441 m))","Bernina Range","II/A-15.III-A","Graub./Sondrio","CH/IT","1859"
"167","Dosson di Genova","3441","313","46°08′55″N 10°33′13″E﻿ / ﻿46.14861°N 10.55361°E﻿ / 46.14861; 10.55361﻿ (167. Dosson di Genova (3441 m))","Adamello-Presanella","II/C-28.III-A","Brescia/Trentino","IT","1882"
"168","Cima de' Piazzi","3439","1202","46°25′00″N 10°17′06″E﻿ / ﻿46.41667°N 10.28500°E﻿ / 46.41667; 10.28500﻿ (168. Cima de' Piazzi (3439 m))","Livigno Alps","II/A-15.IV-B","Sondrio","IT","1867"
"169","Lagaunspitze","3439","422","46°44′21″N 10°44′21″E﻿ / ﻿46.73917°N 10.73917°E﻿ / 46.73917; 10.73917﻿ (169. Lagaunspitze (3439 m))","Ötztal Alps","II/A-16.I-A","South Tyrol","IT","1876"
"170","Zufrittspitze","3439","309","46°30′07″N 10°46′56″E﻿ / ﻿46.50194°N 10.78222°E﻿ / 46.50194; 10.78222﻿ (170. Zufrittspitze (3439 m))","Ortler Alps","II/C-28.I-A","South Tyrol","IT","1868"
"171","Taou Blanc (it)","3438","415","45°31′20″N 07°08′53″E﻿ / ﻿45.52222°N 7.14806°E﻿ / 45.52222; 7.14806﻿ (171. Mont Taou Blanc (3438 m))","Graian Alps - Central","I/B-07.III-A","Aosta Valley","IT","1880"
"172","Hochgall","3436","1148","46°54′39″N 12°08′23″E﻿ / ﻿46.91083°N 12.13972°E﻿ / 46.91083; 12.13972﻿ (172. Hochgall (3436 m))","Rieserferner Group","II/A-17.III-A","South Tyrol","IT","1854"
"173","Gspaltenhorn","3436","599","46°30′42″N 07°49′39″E﻿ / ﻿46.51167°N 7.82750°E﻿ / 46.51167; 7.82750﻿ (173. Gspaltenhorn (3436 m))","Bernese Alps","I/B-12.II-D","Bern","CH","1869"
"174","Stellihorn","3436","598","46°02′11″N 08°00′03″E﻿ / ﻿46.03639°N 8.00083°E﻿ / 46.03639; 8.00083﻿ (174. Stellihorn (3436 m))","Weissmies Alps","I/B-09.V-B","Valais","CH",""
"175","Pointe de la Sana","3436","525","45°23′06″N 06°55′05″E﻿ / ﻿45.38500°N 6.91806°E﻿ / 45.38500; 6.91806﻿ (175. Pte de la Sana (3436 m))","Vanoise massif","I/B-07.II-A","Savoy","FR","1877"
"176","Punta Bianca di Bioula (it)","3427","463","45°35′12″N 07°10′00″E﻿ / ﻿45.58667°N 7.16667°E﻿ / 45.58667; 7.16667﻿ (176. Pta di Bioula (3427 m))","Graian Alps - Central","I/B-07.III-A","Aosta Valley","IT",""
"177","Verpeilspitze","3425","415","47°00′12″N 10°48′18″E﻿ / ﻿47.00333°N 10.80500°E﻿ / 47.00333; 10.80500﻿ (177. Verpeilspitze (3425 m))","Ötztal Alps","II/A-16.I-C","North Tyrol","AT","1886"
"178","Pointe de l'Échelle","3422","537","45°16′09″N 06°41′07″E﻿ / ﻿45.26917°N 6.68528°E﻿ / 45.26917; 6.68528﻿ (178. Pte de l'Échelle (3422 m))","Vanoise massif","I/B-07.II-D","Savoy","FR",""
"179","Goléon (fr)","3422","330","45°06′13″N 06°19′35″E﻿ / ﻿45.10361°N 6.32639°E﻿ / 45.10361; 6.32639﻿ (179. Aig. du Goleon (3422 m))","Dauphiné Alps","I/A-05.I-A","Hautes-Alpes","FR",""
"180","Aiguille de l'Épéna","3421","330","45°24′53″N 06°49′02″E﻿ / ﻿45.41472°N 6.81722°E﻿ / 45.41472; 6.81722﻿ (180. Aig. de l'Épéna (3421 m))","Vanoise massif","I/B-07.II-B","Savoy","FR","1900"
"181","Pics du Says","3420","298","44°52′26″N 06°18′21″E﻿ / ﻿44.87389°N 6.30583°E﻿ / 44.87389; 6.30583﻿ (Pics du Says (3420 m))","Massif des Écrins","I/A-05.III-D","Isère/H-Alpes","FR","1879"
"181","Bifertenstock / Piz Durschin","3419","383","46°48′16″N 08°57′27″E﻿ / ﻿46.80444°N 8.95750°E﻿ / 46.80444; 8.95750﻿ (181. Bifertenstock / Piz Durschin (3419 m))","Glarus Alps","I/B-13.II-A","Glarus/Graub.","CH","1863"
"182","Piz Kesch / Piz d' Es-Cha","3418","1503","46°37′17″N 09°52′22″E﻿ / ﻿46.62139°N 9.87278°E﻿ / 46.62139; 9.87278﻿ (182. Piz Kesch / Piz d' Es-Cha (3418 m))","Albula Alps","II/A-15.II-B","Graubünden","CH","1846"
"183","Sommet de Bellecôte","3417","808","45°29′33″N 06°46′57″E﻿ / ﻿45.49250°N 6.78250°E﻿ / 45.49250; 6.78250﻿ (183. Sommet de Bellecôte (3417 m))","Vanoise massif","I/B-07.II-B","Savoy","FR","1866"
"184","Fleckistock / Rot Stock","3416","760","46°42′27″N 08°29′51″E﻿ / ﻿46.70750°N 8.49750°E﻿ / 46.70750; 8.49750﻿ (184. Fleckistock / Rot Stock (3416 m))","Urner Alps","I/B-12.I-A","Uri","CH","1864"
"185","Pointe du Bouchet","3416","321","45°15′15″N 06°36′15″E﻿ / ﻿45.25417°N 6.60417°E﻿ / 45.25417; 6.60417﻿ (185. Pte du Bouchet (3416 m))","Vanoise massif","I/B-07.II-E","Savoy","FR",""
"186","Aiguille de Chambeyron","3412","771","44°32′52″N 06°51′24″E﻿ / ﻿44.54778°N 6.85667°E﻿ / 44.54778; 6.85667﻿ (186. Aig. de Chambeyron (3412 m))","Southern Cottian Alps","I/A-04.I-A","A-d-H-Provence","FR","1879"
"187","Piz Linard","3411","1028","46°47′56″N 10°04′18″E﻿ / ﻿46.79889°N 10.07167°E﻿ / 46.79889; 10.07167﻿ (187. Piz Linard (3411 m))","Silvretta","II/A-15.VI-A","Graubünden","CH","1835"
"188","Schrammacher","3410","451","47°01′37″N 11°38′35″E﻿ / ﻿47.02694°N 11.64306°E﻿ / 47.02694; 11.64306﻿ (188. Schrammacher (3410 m))","Zillertal Alps","II/A-17.I-A","North Tyrol","AT","1847"
"189","Hochfirst","3403","401","46°49′36″N 11°04′52″E﻿ / ﻿46.82667°N 11.08111°E﻿ / 46.82667; 11.08111﻿ (189. Hochfirst (3403 m))","Ötztal Alps","II/A-16.I-A","N-Tyrol/S-Tyrol","AT/IT","1870"
"190","Rheinwaldhorn","3402","1337","46°29′37″N 09°02′25″E﻿ / ﻿46.49361°N 9.04028°E﻿ / 46.49361; 9.04028﻿ (190. Rheinwaldhorn (3402 m))","Adula Alps","I/B-10.III-B","Graub./Ticino","CH","1789"
"191","Aiguille des Arias","3402","432","44°53′44″N 06°10′27″E﻿ / ﻿44.89556°N 6.17417°E﻿ / 44.89556; 6.17417﻿ (191. Aigs des Arias (3402 m))","Massif des Écrins","I/A-05.III-E","Isère","FR","1876"
"192","Fluchthorn","3399","647","46°53′27″N 10°13′39″E﻿ / ﻿46.89083°N 10.22750°E﻿ / 46.89083; 10.22750﻿ (192. Fluchthorn (3399 m))","Silvretta","II/A-15.VI-A","N-Tyrol/Graub.","AT/CH","1861"
"193","Piz Calderas","3397","1085","46°32′11″N 09°41′45″E﻿ / ﻿46.53639°N 9.69583°E﻿ / 46.53639; 9.69583﻿ (193. Piz Calderas (3397 m))","Albula Alps","II/A-15.II-A","Graubünden","CH","1857"
"194","Großer Bärenkopf","3396","302","47°07′51″N 12°43′54″E﻿ / ﻿47.13083°N 12.73167°E﻿ / 47.13083; 12.73167﻿ (194. Großer Bärenkopf (3396 m))","Glockner Group","II/A-17.II-C","Salzburg","AT","1869"
"195","Hohe Geige","3395","458","47°00′17″N 10°54′31″E﻿ / ﻿47.00472°N 10.90861°E﻿ / 47.00472; 10.90861﻿ (195. Hohe Geige (3395 m))","Ötztal Alps","II/A-16.I-C","North Tyrol","AT","1853"
"196","Piz Platta","3392","1108","46°29′14″N 09°33′42″E﻿ / ﻿46.48722°N 9.56167°E﻿ / 46.48722; 9.56167﻿ (196. Piz Platta (3392 m))","Oberhalbstein Range","II/A-15.I-B","Graubünden","CH","1866"
"197","Brec de Chambeyron","3389","462","44°31′41″N 06°51′12″E﻿ / ﻿44.52806°N 6.85333°E﻿ / 44.52806; 6.85333﻿ (197. Brec de Chambeyron (3389 m))","Southern Cottian Alps","I/A-04.I-A","AdHP/Cuneo","FR/IT","1878"
"198","Diechterhorn","3389","308","46°38′55″N 08°21′38″E﻿ / ﻿46.64861°N 8.36056°E﻿ / 46.64861; 8.36056﻿ (198. Diechterhorn (3389 m))","Urner Alps","I/B-12.I-A","Bern","CH","1864"
"199","Veneziaspitze / Cima Venezia","3386","354","46°27′14″N 10°41′21″E﻿ / ﻿46.45389°N 10.68917°E﻿ / 46.45389; 10.68917﻿ (199. Veneziaspitze / Cima Venezia (3386 m))","Ortler Alps","II/C-28.I-A","S-Tyrol/Trentino","IT","1867"
"200","Pic Nord de la Font Sancte","3385","724","44°36′18″N 06°48′01″E﻿ / ﻿44.60500°N 6.80028°E﻿ / 44.60500; 6.80028﻿ (200. Pic Nord de la Font Sancte (3385 m))","Southern Cottian Alps","I/A-04.I-B","AdHP/H-Alpes","FR","1879"
"201","Punta Sulè (it)","3384","311","45°13′53″N 07°08′15″E﻿ / ﻿45.23139°N 7.13750°E﻿ / 45.23139; 7.13750﻿ (201. Pta Sulè (3384 m))","Graian Alps - SE","I/B-07.I-B","Turin","IT",""
"202","Rognosa d'Etiache / d'Étache","3383","584","45°08′05″N 06°50′02″E﻿ / ﻿45.13472°N 6.83389°E﻿ / 45.13472; 6.83389﻿ (202. Rognosa d'Etiache / d'Étache (3383 m))","Northern Cottian Alps","I/A-04.III-B","Savoy/Turin","FR/IT","1875"
"203","Piz Güglia / Piz Julier","3380","489","46°29′28″N 09°45′35″E﻿ / ﻿46.49111°N 9.75972°E﻿ / 46.49111; 9.75972﻿ (203. Piz Güglia / Piz Julier (3380 m))","Albula Alps","II/A-15.II-A","Graubünden","CH","1859"
"204","Grand Tournalin","3379","551","45°52′18″N 07°41′17″E﻿ / ﻿45.87167°N 7.68806°E﻿ / 45.87167; 7.68806﻿ (204. Grand Tournalin (3379 m))","Monte Rosa Alps","I/B-09.III-B","Aosta Valley","IT","1863"
"205","Güferhorn","3379","400","46°30′45″N 09°03′47″E﻿ / ﻿46.51250°N 9.06306°E﻿ / 46.51250; 9.06306﻿ (205. Güferhorn (3379 m))","Adula Alps","I/B-10.III-B","Graubünden","CH","1806"
